team,games,nb_games
"['Louis', 'Clément']","['Scattergories', 'Speed List', 'Blind Test', 'Speed Eating Challenge']",4
"['Martin', 'Christine']","['Tower Fall', 'Flip Glass', 'Blind Test', 'Mario Party']",4
"['Dan', 'Kenneth']","['Blind Test', 'Mario Party', 'Speed Eating Challenge', 'Scattergories']",4
"['Kelly', 'Lise']","['Tower Fall', 'Speed List', 'Speed Eating Challenge', 'Scattergories']",4
"['Nathalie', 'Marie']","['Blind Test', 'Scattergories', 'Speed Eating Challenge', 'Flip Glass']",4
